aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19
-0.502415459,-1.062801932,-0.415458937,-0.946859903,-0.391304348,-0.792270531,-1.391304348,-0.768115942,-0.710144928,-1.425120773,-1.787439614,-1.309178744,-1.212560386,-1.217391304,-0.444444444,-0.169082126,-0.009661836,-1.212560386,-0.661835749,-0.961352657
-0.095152603,-0.47037702,-0.813285458,-0.610412926,-2.254937163,-0.576301616,-0.971274686,-0.969479354,-0.238779174,-1.324955117,-1.087971275,-1.466786355,-0.594254937,-0.962298025,-0.854578097,-0.646319569,-0.508078995,-0.398563734,-0.766606822,-0.849192101
-1.159806295,-2.610169492,-1.99031477,-2.605326877,-2.128329298,-2.414043584,-3.016949153,-1.559322034,-2.510895884,-2.745762712,-2.542372881,-2.593220339,-2.690072639,-2.915254237,-3.910411622,-1.150121065,-1.17433414,-3.728813559,-3.17433414,-1.811138015
-0.443076923,-1.086153846,-1.064615385,-1.310769231,-1.16,-1.098461538,-1.101538462,-1.326153846,-1,-0.772307692,-1.052307692,-1.126153846,-0.692307692,-1.353846154,-1.898461538,-0.824615385,-0.827692308,-2.16,-1.236923077,-0.689230769
-0.398305085,-0.875706215,-0.816384181,-1.048022599,-1.929378531,-0.610169492,-0.65819209,-1.033898305,-1.025423729,-0.929378531,-0.872881356,-0.646892655,-0.65819209,-1.104519774,-1.059322034,-0.293785311,-0.398305085,-1.579096045,-0.86440678,-0.776836158
-0.794642857,-1.464285714,-0.334821429,-0.665178571,-2.696428571,-0.924107143,-1.017857143,-1.258928571,-1.174107143,-1.598214286,-1.816964286,-0.879464286,-1.446428571,-1.379464286,-1.714285714,-0.388392857,-0.339285714,-2.133928571,-0.71875,-1.071428571
-0.107798165,-0.76146789,-0.899082569,-0.986238532,-1.114678899,-0.752293578,-0.697247706,-1.146788991,-0.740825688,-0.633027523,-0.94266055,-0.73853211,-0.449541284,-1.341743119,-1.337155963,-0.580275229,-0.527522936,-2.146788991,-1.165137615,-0.589449541
-0.335341365,-0.775100402,-0.989959839,-0.911646586,-2.353413655,-0.493975904,-0.652610442,-1.425702811,-0.668674699,-1.363453815,-1.186746988,-0.947791165,-0.708835341,-1.140562249,-1.375502008,-0.674698795,-0.726907631,-1.226907631,-0.753012048,-1.114457831
-0.646258503,-1.174603175,-1.390022676,-1.458049887,-1.229024943,-1.448979592,-1.199546485,-1.87755102,-0.691609977,-1.070294785,-1.310657596,-1.650793651,-0.927437642,-1.179138322,-1.927437642,-1.113378685,-1.170068027,-2.029478458,-1.192743764,-1.145124717
-1.347252747,-1.846153846,-2.734065934,-2.859340659,-3.940659341,-2.184615385,-2.476923077,-3.217582418,-1.892307692,-2.195604396,-1.727472527,-2.606593407,-1.468131868,-2.641758242,-3.189010989,-2.050549451,-1.687912088,-4.043956044,-3.142857143,-1.945054945
