aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19
-2.245901639,-0.098360656,-2.196721311,-3.37704918,-3.983606557,-0.62295082,-1.540983607,-4.163934426,-2.114754098,-3.344262295,-2.901639344,-0.081967213,-2.360655738,-3.590163934,-3.540983607,-1.704918033,-1.557377049,-4.737704918,-3.098360656,-2.983606557
0.014492754,-0.376811594,-1.579710145,-1.420289855,-2.420289855,-0.739130435,-0.434782609,-1.884057971,-1.927536232,-1.130434783,-1.405797101,-0.072463768,-0.971014493,-2.31884058,-2.231884058,-0.637681159,-0.739130435,-3.449275362,-1.985507246,-0.869565217
-0.953917051,-0.811059908,-0.728110599,-1.170506912,-2.059907834,-0.622119816,-0.751152074,-1.852534562,-0.935483871,-0.857142857,-0.944700461,-0.175115207,-0.557603687,-0.852534562,-1.792626728,-0.6359447,-0.68202765,-2.023041475,-0.479262673,-1.013824885
-0.469135802,-0.456790123,-0.802469136,-0.75308642,-2.271604938,-0.160493827,-0.333333333,-1.098765432,-1.111111111,-1.345679012,-1.50617284,-0.148148148,-0.975308642,-1.87654321,-1.333333333,-0.382716049,-0.666666667,-2.345679012,-1.444444444,-1.061728395
-1.347560976,-1.603658537,-1.908536585,-2.725609756,-2.182926829,-1.268292683,-2.109756098,-2.926829268,-1.018292683,-1.487804878,-1.713414634,-1.652439024,-1.115853659,-2.103658537,-2.615853659,-1.323170732,-0.969512195,-2.884146341,-1.926829268,-1.554878049
-0.617977528,-1,-0.93258427,-1.213483146,-1.393258427,-0.505617978,-0.741573034,-1.382022472,-1.191011236,-1.539325843,-1.382022472,-0.662921348,-0.966292135,-1.786516854,-2.033707865,-0.719101124,-0.820224719,-2.573033708,-1.460674157,-1.382022472
-1.072072072,-0.495495495,-1.027027027,-1,-1.783783784,-0.63963964,-0.279279279,-2.108108108,-1.027027027,-1.567567568,-1.252252252,-0.099099099,-1.045045045,-1.603603604,-1.603603604,-0.783783784,-0.981981982,-2.414414414,-1.288288288,-1.441441441
-0.580246914,-0.641975309,-0.320987654,-0.87654321,-2.308641975,-0.604938272,-0.481481481,-1.851851852,-0.975308642,-1.074074074,-0.950617284,-0.185185185,-0.666666667,-1.518518519,-1.456790123,-0.358024691,-0.49382716,-2.37037037,-1.296296296,-1
-0.257053292,-0.877742947,-1.078369906,-1.282131661,-1.579937304,-0.702194357,-0.92476489,-1.235109718,-1.326018809,-1.150470219,-0.97492163,-0.880877743,-0.78369906,-1.344827586,-1.156739812,-0.172413793,-0.203761755,-2.510971787,-1.413793103,-0.75862069
-0.65037594,-0.315789474,-1.191729323,-1.157894737,-0.714285714,-0.748120301,-0.977443609,-1.360902256,-0.07518797,-1.04887218,-1.221804511,-0.751879699,-0.62406015,-1.180451128,-1.244360902,-0.894736842,-0.733082707,-0.620300752,-1.018796992,-0.966165414
-0.7625,-0.3375,-1.4125,-1.825,-3.475,0.125,-0.55,-2.575,-1.85,-1.4625,-1.4125,-0.3625,-0.6,-2.7375,-2.75,-0.9875,-1.05,-3.95,-2.5625,-1.4625
-0.227272727,-0.75974026,-0.941558442,-0.915584416,-1.863636364,-0.454545455,-0.272727273,-1.37012987,-1.324675325,-1.194805195,-1.149350649,-0.5,-0.733766234,-1.727272727,-1.538961039,-0.324675325,-0.577922078,-2.532467532,-1.441558442,-0.792207792
-0.9,-0.97,-1.28,-1.13,-1.71,-0.72,-0.78,-1.86,-1.75,-1.53,-1.3,-0.63,-1.38,-2.04,-1.59,-0.57,-0.71,-2.81,-1.93,-1.09
