rpssm0,rpssm1,rpssm2,rpssm3,rpssm4,rpssm5,rpssm6,rpssm7,rpssm8,rpssm9,rpssm10,rpssm11,rpssm12,rpssm13,rpssm14,rpssm15,rpssm16,rpssm17,rpssm18,rpssm19,rpssm20,rpssm21,rpssm22,rpssm23,rpssm24,rpssm25,rpssm26,rpssm27,rpssm28,rpssm29,rpssm30,rpssm31,rpssm32,rpssm33,rpssm34,rpssm35,rpssm36,rpssm37,rpssm38,rpssm39,rpssm40,rpssm41,rpssm42,rpssm43,rpssm44,rpssm45,rpssm46,rpssm47,rpssm48,rpssm49,rpssm50,rpssm51,rpssm52,rpssm53,rpssm54,rpssm55,rpssm56,rpssm57,rpssm58,rpssm59,rpssm60,rpssm61,rpssm62,rpssm63,rpssm64,rpssm65,rpssm66,rpssm67,rpssm68,rpssm69,rpssm70,rpssm71,rpssm72,rpssm73,rpssm74,rpssm75,rpssm76,rpssm77,rpssm78,rpssm79,rpssm80,rpssm81,rpssm82,rpssm83,rpssm84,rpssm85,rpssm86,rpssm87,rpssm88,rpssm89,rpssm90,rpssm91,rpssm92,rpssm93,rpssm94,rpssm95,rpssm96,rpssm97,rpssm98,rpssm99,rpssm100,rpssm101,rpssm102,rpssm103,rpssm104,rpssm105,rpssm106,rpssm107,rpssm108,rpssm109
7.098148148,7.971759259,8.507175926,10.10092593,11.59467593,11.92222222,20.93217593,7.006481481,8.356481481,10.18148148,8.9625,8.395833333,9.589583333,6.929166667,8.81875,9.291203704,16.94375,7.579166667,8.120833333,11.7375,7.719444444,9.475,10.56875,8.769444444,10.09375,10.96203704,18.90625,7.775,8.4,12.1,8.269444444,7.218981481,7.568287037,6.424074074,7.219675926,8.082407407,11.23773148,8.409259259,8.937037037,8.484259259,8.971527778,7.002083333,8.079166667,8.31875,8.329166667,10.12523148,11.225,9.027083333,10.31041667,9.877083333,10.66574074,7.949537037,7.696064815,8.646296296,9.191898148,9.987962963,12.80162037,10.2537037,11.90925926,12.85648148,16.50902778,12.54375,13.71666667,11.45625,13.24166667,13.96273148,12.77916667,16.22291667,18.78958333,17.75625,6.713888889,7.270833333,7.522916667,9.55,8.927083333,11.05648148,18.48958333,6.016666667,5.983333333,8.525,7.1,6.904166667,6.85625,9.575,9.385416667,10.90925926,17.41458333,6.275,6.291666667,8.45,8.711111111,11.12916667,9.90625,9.108333333,9.310416667,10.89259259,16.92291667,8.808333333,8.225,9.733333333,7.35322046,8.253292126,8.940338619,6.647078145,8.488040849,10.55946729,16.75826391,6.212846009,6.76001075,12.21553346
2.685457516,4.402777778,6.192606209,3.892973856,3.00878268,5.06372549,7.454861111,2.60130719,3.258169935,3.086601307,5.156658497,5.424632353,7.327205882,2.704044118,3.452205882,3.597834967,5.474264706,5.056985294,3.96875,3.726102941,5.89379085,5.595588235,7.556985294,3.303921569,4.472426471,4.76879085,6.086397059,5.801470588,4.852941176,4.860294118,4.325980392,3.179738562,4.432802288,2.144607843,2.753880719,2.844771242,3.793096405,4.552287582,4.214052288,4.444444444,2.700776144,3.689338235,4.871323529,2.897671569,2.238970588,3.970383987,6.150735294,2.424632353,3.476102941,3.740808824,4.234477124,4.428921569,5.400122549,4.275326797,3.772671569,4.769607843,6.799632353,4.852941176,6.289215686,6.426470588,6.725285948,6.211397059,7.227941176,4.895220588,4.643382353,5.382148693,6.209558824,7.115808824,8.042279412,8.079044118,2.994281046,4.242647059,6.476102941,4.026960784,3.012867647,4.805555556,6.851102941,3.132352941,3.455882353,3.176470588,4.330065359,5.720588235,7.233455882,4.921568627,3.277573529,4.445261438,5.542279412,5.051470588,4.433823529,4.507352941,2.879084967,3.860294118,5.233455882,5.210784314,3.409926471,5.489379085,7.409926471,3.727941176,5.022058824,3.830882353,2.477957479,4.790590212,6.463768116,1.925832575,2.258139046,4.532427828,6.482146608,3.171182525,5.0010502,3.888258769
7.117026749,5.331468621,5.390496399,4.02031893,4.710133745,4.962962963,5.655735597,5.415380658,5.819701646,6.408436214,6.024176955,3.843171296,4.043402778,2.676697531,3.599537037,4.062242798,4.457175926,4.668981481,4.868055556,5.69212963,5.665766461,4.228587963,4.375578704,3.081404321,3.873842593,4.477752058,4.974537037,4.72337963,4.894675926,6.021990741,3.685699588,2.721129115,3.202996399,1.70627572,2.21244856,2.85159465,3.567772634,3.624485597,3.467078189,3.751800412,4.56410751,3.506944444,3.939814815,2.326967593,2.736689815,3.180105453,4.267939815,4.252893519,4.023726852,3.919560185,4.970164609,4.045460391,4.291988169,2.565843621,3.004372428,3.72350823,4.681455761,4.372427984,4.389403292,4.746656379,5.306970165,4.250578704,5.027199074,3.522762346,3.899305556,4.472350823,5.3125,5.920138889,5.47337963,6.008101852,5.423096708,4.335069444,4.725115741,3.476080247,4.115740741,4.583847737,5.753472222,3.743055556,3.6875,4.935185185,5.442386831,5.01099537,5.264467593,3.682098765,3.851851852,4.530606996,5.457175926,4.282407407,3.717592593,4.729166667,5.472479424,5.439236111,5.465856481,3.963734568,4.469907407,4.784465021,5.899305556,4.604166667,4.381944444,4.319444444,6.459640256,4.053282083,4.564962093,1.552974155,2.862260825,3.901604763,5.081749453,3.669222111,4.411433668,5.270360381
3.079861111,3.486284722,5.058680556,3.728472222,3.198784722,4.65,4.214409722,3.299305556,5.549305556,4.836805556,2.69375,2.6734375,3.696875,2.763194444,2.9296875,3.966666667,4.2765625,3.1125,5.4,4.6125,3.788541667,3.5859375,4.3,3.722569444,4.1765625,5.403125,5.2359375,4.053125,6.559375,5.509375,3.678472222,2.556423611,3.585069444,0.89375,1.314756944,1.902777778,2.784548611,3.025694444,3.571527778,3.117361111,3.2578125,2.44375,3.6421875,1.568923611,1.615625,2.684895833,4.078125,2.8328125,4.1078125,3.6828125,5.023611111,3.4578125,4.328125,2.097222222,2.603645833,3.25625,5.2484375,4.016666667,4.775,4.516666667,5.921354167,4.409375,5.0171875,2.749131944,3.25,3.677604167,5.44375,5.2359375,5.6609375,5.3984375,2.53125,2.7765625,3.721875,3.284027778,3.0703125,4.554166667,5.2359375,1.90625,5.01875,4.10625,6.470833333,5.5640625,6.815625,3.090277778,3.8703125,4.135416667,5.5859375,4.9625,5.5875,4.2125,4.3125,3.7953125,5.153125,3.156944444,3.2390625,4.577083333,5.4234375,3.6875,5.125,5.125,3.473251029,2.895747599,5.004801097,1.190976985,2.0752934,3.524090162,4.633821064,1.950922116,6.508763908,4.790123457
10.26107703,8.175102249,8.948619632,7.517041581,9.517382413,9.396046353,10.0204499,7.325153374,10.46216769,11.16462168,9.542944785,6.316717791,7.637269939,6.020790729,7.320552147,7.7532379,8.154907975,8.076687117,10.41717791,11.37423313,10.76661554,8.285276074,8.57208589,7.074727335,8.944018405,8.273432175,9.549846626,8.635736196,11.875,12.11733129,8.337423313,5.949130879,7.003834356,3.512951602,5.347648262,5.558963872,5.899795501,6.985685072,8.785276074,8.524539877,8.120654397,6.85506135,7.827453988,5.33060668,7.377300613,8.005794138,7.825153374,7.435582822,8.809815951,10.57668712,7.617927744,6.480487389,7.209014997,5.504430811,7.118268575,6.912406271,7.244035446,7.562031357,8.744035446,10.36059986,7.786554192,6.61196319,8.190184049,5.488326517,6.827453988,7.535702113,7.832055215,8.085122699,9.625,10.72622699,8.856850716,6.585122699,6.862730061,5.687457396,8.67791411,8.366734833,8.619631902,7.319018405,10.77300613,10.20552147,9.833333333,9.134202454,9.724693252,8.811179277,9.717791411,8.394342195,8.846625767,9.236196319,9.5,10.15337423,9.570552147,11.27223926,12.14493865,9.38275392,9.165644172,9.051806408,10.77300613,10.97546012,11.4601227,11.81288344,9.947699782,6.968322427,8.98582503,4.178708936,7.437685901,7.793521548,8.654335217,7.149464604,10.5800119,13.68779744
4.556186869,3.773358586,3.731691919,4.394570707,4.939078283,5.340277778,5.629419192,6.188131313,6.036616162,5.248737374,5.228693182,4.788352273,4.867897727,3.040561869,3.637784091,4.335385101,4.291193182,7.075284091,4.132102273,5.069602273,4.750473485,4.737215909,4.720170455,3.052872475,3.782670455,4.421559343,4.220170455,7.009943182,3.958806818,4.907670455,4.090909091,4.001893939,4.073863636,1.891414141,3.006628788,2.994949495,3.253787879,5.941287879,5.077651515,4.339015152,4.463068182,4.417613636,4.9375,3.670770202,4.196022727,4.342487374,4.301136364,7.053977273,6.639204545,5.622159091,4.921717172,5.380050505,5.688762626,3.803030303,4.464330808,4.526515152,4.323232323,7.048611111,6.874368687,5.650883838,5.307291667,5.339488636,6.075284091,4.175978535,3.458806818,3.862847222,4.626420455,7.850852273,7.186079545,5.180397727,6.410984848,6.8125,6.477272727,5.734217172,6.184659091,6.780934343,7.431818182,8.931818182,7.863636364,8.170454545,5.986742424,6.068181818,5.625,5.669823232,6.360795455,5.674873737,5.954545455,9.772727273,8.193181818,6.715909091,5.477272727,5.261363636,4.914772727,4.755050505,5.84375,5.900252525,5.789772727,8.4375,6.244318182,5.528409091,4.892788509,4.803938897,4.506880444,2.291882338,4.330450701,4.5769193,4.82552708,9.204898371,7.449564449,5.223582881
5.883333333,4.784469697,5.117424242,4.44040404,5.600378788,6.214141414,7.408333333,8.124242424,4.715151515,7.43030303,5.945959596,4.655681818,4.577272727,3.480808081,4.417045455,4.482828283,5.554545455,8.036363636,6.022727273,6.940909091,5.236111111,4.880681818,4.606818182,3.678535354,4.655681818,4.876010101,6.202272727,7.343181818,5.888636364,6.820454545,4.06969697,2.938005051,2.640656566,1.989393939,3.169065657,3.824747475,4.457323232,6.545959596,4.715656566,4.682323232,5.127777778,4.278409091,3.822727273,2.856565657,4.355681818,5.382828283,5.988636364,7.209090909,5.168181818,4.9,5.831818182,5.114267677,4.406313131,3.526262626,5.031691919,5.806060606,6.012373737,8.646464646,6.761616162,6.773737374,7.425505051,6.364772727,5.831818182,4.452777778,5.489772727,6.177525253,6.047727273,9.529545455,8.138636364,7.897727273,9.297474747,6.942045455,7.129545455,6.798989899,7.730681818,8.337373737,9.752272727,9.872727273,7.6,9.809090909,5.632323232,4.814772727,4.156818182,3.452020202,4.967045455,6.241919192,7.465909091,7.886363636,4.340909091,5.322727273,6.835353535,6.128409091,5.625,4.685353535,5.457954545,6.602525253,8.156818182,9.659090909,6.359090909,6.059090909,6.007593179,4.727903579,4.335565295,1.987068149,4.026296567,5.425695966,6.267470173,11.1064037,4.672997322,7.698725753
4.075,4.537847222,4.248784722,3.399305556,4.268576389,4.025,4.351909722,3.111805556,3.082638889,5.159722222,4.758680556,4.525,4.2265625,2.463541667,4.0046875,4.014236111,4.3828125,4.040625,3.515625,4.259375,4.330034722,3.9796875,3.6125,2.361979167,4.153125,4.093923611,4.746875,3.5015625,2.9890625,4.5765625,2.877777778,2.508680556,2.444618056,1.720138889,2.547743056,2.425,4.026909722,3.311805556,3.428472222,5.026388889,3.462326389,3.4078125,3.66875,3.1734375,3.865625,3.461631944,4.50625,3.9984375,4.5359375,6.1171875,3.403472222,3.294791667,3.411979167,2.694444444,3.594270833,2.914583333,4.490104167,3.7875,4.225,5.610416667,4.412847222,4.20625,4.7046875,3.990625,4.0890625,3.899652778,4.5640625,5.484375,5.721875,7.053125,2.843055556,4.190625,3.7078125,3.552083333,4.4546875,4.352777778,5.5859375,2.05625,2.70625,4.675,3.143055556,4.015625,3.5578125,3.26875,3.5171875,3.448611111,5.6234375,2.55625,2.54375,5.2375,5.374305556,5.440625,4.6390625,4.054166667,5.4546875,4.442361111,6.8796875,4.3,4.4875,5.16875,3.605243103,3.960295687,3.696159122,1.632203763,3.700274348,3.342783112,4.974013108,2.114616674,2.965706447,5.976527968
3.337526205,4.199510832,4.275375611,3.795248078,3.056167016,3.795597484,3.841675402,4.015024458,4.768693222,6.010831586,3.730433263,3.450471698,3.786556604,3.335779175,3.413522013,3.907232704,3.726808176,4.474842767,5.273584906,6.671383648,3.435228861,3.739386792,4.058176101,3.663740391,3.542059748,4.064334382,4.126572327,4.54913522,5.608883648,6.624606918,3.99650594,3.117225716,3.318352551,2.263452131,3.059835779,3.058350804,3.406140811,4.875611461,4.432215234,4.728860936,3.61277079,3.686320755,3.673349057,2.819269741,2.754716981,2.837264151,3.307783019,4.147012579,3.480345912,4.310534591,3.963661775,3.834032145,3.921951433,2.932215234,2.949598183,2.973794549,3.445798393,4.64011181,3.825646401,4.502795248,4.39998253,3.943396226,3.972877358,3.127445842,3.187106918,3.448899371,3.648977987,4.85927673,4.414308176,4.807389937,3.977288609,4.322327044,4.388757862,4.658630328,4.238207547,4.737945493,5.04677673,5.254716981,5.531446541,6.742138365,5.21104123,5.283018868,5.207940252,4.096785465,4.049528302,3.844863732,4.518474843,5.688679245,4.449685535,5.188679245,6.063242488,6.014150943,6.126179245,4.809573725,4.747641509,4.77672956,5.593946541,6.518867925,5.962264151,6.141509434,3.496626627,3.838882283,4.099031063,2.133781879,2.773380765,3.288876223,3.752675386,5.108813789,5.747231258,7.467595641
4.153878407,3.981708595,4.457966457,3.984067086,4.790513627,5.305450734,6.011425577,4.964570231,7.128092243,7.414255765,4.184224319,3.177358491,3.783490566,2.508333333,3.026415094,3.399109015,4.278773585,5.199528302,5.116509434,6.139150943,5.116457023,3.872169811,4.052830189,2.935534591,3.797641509,3.874737945,4.890566038,5.899056604,6.051886792,7.129245283,3.601257862,2.346069182,2.592767296,1.599161426,2.686320755,2.935639413,3.190251572,4.341509434,4.590566038,5.149685535,4.155293501,3.374528302,4.225943396,2.651100629,3.519811321,3.73370021,3.906132075,5.005188679,5.156132075,5.839150943,4.340251572,2.968920335,3.759014675,2.693710692,3.72615304,3.745492662,4.151467505,5.571907757,4.751781971,5.201467505,4.768186583,3.709433962,4.092924528,3.177830189,4.04245283,4.44533543,4.344811321,5.611792453,5.738207547,6.438207547,6.622431866,6.401415094,6.982075472,5.252201258,5.963679245,5.825995807,6.727358491,7.709433962,8.090566038,7.167924528,6.716771488,5.248584906,6.110377358,4.462264151,5.258018868,5.371907757,5.448113208,8.011320755,6.603773585,6.526415094,6.772746331,5.956132075,6.680188679,5.176100629,5.944811321,4.806498952,6.872641509,7.945283019,7.077358491,7.188679245,7.766640913,4.511917717,5.19355249,2.046538652,4.688015857,4.344773274,5.258253717,9.234156821,7.283283396,9.026753915
