pse_pssm0,pse_pssm1,pse_pssm2,pse_pssm3,pse_pssm4,pse_pssm5,pse_pssm6,pse_pssm7,pse_pssm8,pse_pssm9,pse_pssm10,pse_pssm11,pse_pssm12,pse_pssm13,pse_pssm14,pse_pssm15,pse_pssm16,pse_pssm17,pse_pssm18,pse_pssm19,pse_pssm20,pse_pssm21,pse_pssm22,pse_pssm23,pse_pssm24,pse_pssm25,pse_pssm26,pse_pssm27,pse_pssm28,pse_pssm29,pse_pssm30,pse_pssm31,pse_pssm32,pse_pssm33,pse_pssm34,pse_pssm35,pse_pssm36,pse_pssm37,pse_pssm38,pse_pssm39
0.629915099,1.033904135,0.296903472,-0.296106721,-0.554568138,0.511110857,0.344675353,-0.207206981,-0.005222531,-0.562438085,-0.324461506,0.978926003,0.045546149,-0.785219674,-0.162362432,0.713458691,0.283735357,-1.115899615,-0.506284648,-0.318404785,2.710829065,3.985801684,1.026041342,0.453154116,0.65179147,0.511664118,0.420479242,1.224164366,1.415963305,1.349525915,0.908879706,2.210894595,0.585287431,0.500991197,1.101197703,2.223752428,0.591914936,0.331645902,0.367384954,1.529186629
0.326111157,0.347845483,0.061390825,0.079858199,-0.490922882,0.229819127,0.30719497,-0.334776674,0.099290062,-0.036748623,-0.054328846,0.232547933,0.172615098,-0.198684222,-0.308495265,0.182500522,0.09932712,-0.539147651,-0.087976245,-0.087420088,1.312606436,1.968215872,1.329032892,1.96860596,1.749171073,1.144128638,1.593831935,1.810704557,1.178128286,2.220836746,2.205541852,1.319709443,1.23336758,1.983244934,1.642319575,1.038928383,1.013354908,2.525966478,1.68588832,1.670110696
0.676097647,0.485978761,-0.281365492,-0.106294482,-0.50197652,0.23855254,0.151806927,-0.214199621,0.261968945,-0.036098338,0.236221025,-0.198444063,0.109633814,-0.348818,-0.169579632,0.216650727,0.286153891,-0.71043536,-0.344249679,0.248396908,1.227988405,2.517754927,1.046158772,1.875812705,1.165519151,1.316525018,2.031762893,2.094344354,1.516317214,2.44707647,2.906017364,0.912459318,1.77393243,2.474107578,1.97910815,1.072491298,0.831610816,1.368961136,1.264993231,1.919575069
0.153263938,-0.026397133,0.677124175,0.33938759,-1.006774537,0.62536667,0.285911977,-0.120472318,0.147602285,-0.258972279,-0.15693993,0.045582159,0.123398494,-0.534849667,0.499781477,0.77707751,0.402702146,-1.271730464,-0.474123298,-0.226938796,0.583840466,1.058470763,1.597026109,1.688859816,0.801606195,0.979968927,1.106882555,1.243219027,1.589727668,1.577042559,1.665783113,0.887317101,1.360670866,1.838362949,2.280262341,0.824662355,0.630593353,1.481924687,1.109479537,1.181864315
0.498739166,0.357995352,0.000339527,0.140323028,-0.641481072,0.34434018,0.50924685,-0.329881036,-0.239887227,0.037906825,-0.017590562,0.678358758,-0.015183182,-0.45194408,-0.257175104,0.189169779,0.395178256,-0.897696808,-0.441481198,0.140722549,1.071378192,1.922263374,1.472890316,2.284771074,1.391015773,1.356316199,2.428749447,1.8610903,0.903024282,2.811083012,2.379638006,2.157684342,1.49427318,1.996995912,1.845812571,0.811321545,0.881059473,2.517365652,0.99344514,1.575402697
0.177013319,0.151529565,0.09366766,0.062044683,-0.335254373,0.155283007,0.366097179,-0.262836635,-0.138976676,0.015850357,-0.111071496,0.638314792,-0.093561818,-0.232971375,-0.156371318,0.182229033,0.207653265,-0.585200145,-0.110549571,-0.022889453,1.173597138,1.684060331,1.376954616,1.965229081,1.924341674,1.120938002,1.941786301,2.158121951,1.014126323,2.144602348,2.210607878,1.790964325,1.287421727,2.160729987,2.093599294,1.057885575,1.252637152,2.475796441,1.765909575,1.494585161
0.323562487,0.477317506,0.040137247,-0.076828,-0.626051487,0.226801215,0.23598462,-0.198183738,0.056068136,0.122953929,-0.058347959,0.479601024,0.067758736,-0.345091906,-0.482384904,0.209175532,0.244559834,-0.653656414,-0.027951456,-0.015424403,1.120575446,2.480895459,1.335414788,2.018274098,1.385757162,1.130278971,1.60295749,2.468089967,1.405702471,2.090826764,2.166013785,1.332068493,1.499020566,1.789707614,1.653706125,1.12454431,0.943858923,2.214159404,1.666599952,1.606765083
0.138497116,0.200318994,0.202661047,0.120362059,-0.479261705,0.326757258,0.340726648,-0.34855328,0.08289114,-0.004506251,-0.073116856,0.302927409,0.090267152,-0.245450497,-0.098984657,0.355922851,0.225097882,-0.973240407,-0.113815513,-0.049500388,0.739009095,1.58466055,1.51834585,1.798404649,2.531264327,1.086972661,1.596211309,1.356067025,1.712054011,1.915260683,1.881935492,1.170678986,1.543099606,2.054264324,2.160777382,0.944388823,0.782653901,3.039745187,1.72983364,1.419649746
0.102102627,0.184953427,-0.071148652,-0.205999155,0.252916896,0.222076347,-0.00067322,-0.373082754,0.48113177,-0.082023087,-0.368964403,0.002919965,0.412496603,-0.26254532,-0.063837706,0.049606415,0.09456779,-0.301972052,0.038217582,-0.110743074,0.74183781,1.16254036,1.295569654,1.715263242,2.701739591,0.996888215,1.227255819,1.498171734,2.036167437,1.358108314,1.232699824,1.166377051,1.513467908,1.747568109,2.47224177,0.808959038,0.620216024,6.834541283,1.796876443,1.253465706
0.310603617,1.004986372,0.078250956,-0.273380032,-0.139491795,0.443469262,0.182463899,-0.272474613,-0.092844095,-0.433883727,-0.416626325,0.85112716,-0.023478211,-0.637717885,0.111829455,0.43240211,0.30395427,-0.833038235,-0.350080953,-0.246071229,0.952695107,2.180624192,1.11329883,0.845348948,4.910946949,0.75930244,0.846374914,1.882330294,0.840567691,1.228624875,1.041057291,1.824841989,1.122895787,1.266682538,3.01828323,0.858003907,0.804741677,1.380646987,1.249783536,1.153903405
