pse_pssm0,pse_pssm1,pse_pssm2,pse_pssm3,pse_pssm4,pse_pssm5,pse_pssm6,pse_pssm7,pse_pssm8,pse_pssm9,pse_pssm10,pse_pssm11,pse_pssm12,pse_pssm13,pse_pssm14,pse_pssm15,pse_pssm16,pse_pssm17,pse_pssm18,pse_pssm19,pse_pssm20,pse_pssm21,pse_pssm22,pse_pssm23,pse_pssm24,pse_pssm25,pse_pssm26,pse_pssm27,pse_pssm28,pse_pssm29,pse_pssm30,pse_pssm31,pse_pssm32,pse_pssm33,pse_pssm34,pse_pssm35,pse_pssm36,pse_pssm37,pse_pssm38,pse_pssm39
0.32949526,0.074700627,-0.103939409,-0.083483589,-0.043232112,-0.068374979,0.075153896,-0.082356482,0.167185622,0.023275475,-0.060103995,-0.000362742,0.173051852,-0.201832384,-0.157643803,0.164169617,0.122868635,-0.392802246,0.000525044,0.063705712,1.240892113,1.513045569,1.546644415,2.057447047,1.986462325,0.81488391,1.74118424,2.667119682,1.624495492,2.313981601,2.05899813,1.370474352,1.430236856,1.736767269,2.572760861,1.066683927,0.993980564,3.258798064,1.358324785,1.630280963
0.496256067,-0.028767215,-0.040898059,-0.043249769,-0.142176438,-0.058950373,0.13924658,-0.206190726,0.107114627,0.194481687,0.08020071,0.078006025,0.21427153,-0.143422814,-0.466855774,0.125435565,0.145252209,-0.595927052,-0.004292236,0.150465457,1.279057772,1.830150203,1.179427267,2.331325193,1.604000841,1.015168059,1.837924639,2.714909475,1.425053967,2.298591819,2.150447325,1.427113767,1.458632489,1.898575562,2.376521781,0.947991561,1.066401908,2.802698841,1.646298965,1.623462525
0.213590233,0.316391315,-0.09265536,0.059735982,-0.244586012,0.12538552,0.162582414,-0.29326947,0.150773781,-0.097748122,-0.090784599,0.264653282,0.128506346,-0.19645453,-0.132928034,0.156263483,0.127863178,-0.342085499,-0.184696966,-0.030536943,0.979871779,1.895531164,1.219328855,2.366518368,2.407127286,1.105234428,1.903685562,2.175715999,1.331087513,2.005389057,2.213313171,1.547920265,1.316818924,2.181041554,1.994110629,1.031150756,0.874119524,3.917803755,1.632933155,1.587351097
0.370123397,-0.014484299,0.026961514,-0.058882321,-0.455677154,-0.046183174,0.18664861,-0.234080727,0.042682181,0.234052094,0.045412274,0.093934045,0.212663813,-0.062381394,-0.247548097,0.185069844,0.093168763,-0.533287107,0.069734485,0.092073253,1.387485661,1.64339907,1.237805361,1.647374574,1.884480083,1.181513167,1.996358692,2.444702469,1.54150955,2.239091926,1.856644954,1.534049059,1.066084035,2.012526216,2.426640538,1.059673097,0.70817861,3.603803753,1.742312547,1.492853491
0.142648657,0.040252654,0.060199978,0.008942912,-0.297121398,0.113818853,0.109740522,-0.273025986,0.202261867,-0.051764541,-0.261633984,0.07415086,0.396496721,-0.064251717,-0.130854515,-0.037597478,0.125695838,-0.194642531,0.088282945,-0.051599659,1.01719922,1.387763941,1.211727713,1.907570965,2.356775296,0.940901956,1.305371726,1.9000448,1.899102569,1.76740644,1.585011858,1.296709234,1.184719633,1.639374824,2.601692914,0.790642673,0.801954609,4.632984235,1.518817616,1.198888573
0.684808379,0.206866943,-0.148817648,-0.111222538,-0.394504315,-0.035341778,0.062947382,0.15851116,0.063188428,0.115641363,0.105281214,-0.068925503,0.077193148,-0.290028882,-0.324003028,0.187243618,0.207309456,-0.518057738,-0.232212719,0.254123059,1.240432692,1.624648058,1.601144957,2.090418505,1.628200433,0.85146788,1.82108416,3.983208884,1.259980033,2.590827013,2.206629232,1.181937961,1.298684638,1.699354658,1.906062928,0.801273482,0.806447314,1.635166314,1.213572805,1.840299517
0.205709052,-0.038201745,-0.035025105,-0.118127598,-0.210770913,0.013410619,0.08214678,-0.218170264,0.176393702,0.067942488,-0.170285364,0.02333043,0.334927796,-0.066335968,-0.162940137,0.061893334,0.101105459,-0.217149662,0.118908986,0.051238109,1.084386316,1.66378973,1.44056617,2.083793538,2.48595086,0.946215302,1.682140069,2.416307275,1.62373561,1.94839598,1.667299765,1.378436792,1.519750247,1.753474553,2.217196861,0.838794967,0.762466639,3.929186687,1.637796003,1.467879222
0.235648261,0.016132597,-0.08575625,-0.114546529,0.183245329,0.001841745,0.014816508,-0.201671458,0.319488149,0.009041625,-0.167580183,-0.069785024,0.22590549,-0.102377948,-0.13101794,0.134096317,0.173889866,-0.419150997,-0.057255191,0.035035632,1.015313398,1.416038111,1.48229133,1.852940624,2.660556983,0.967173826,1.607136682,2.222967896,1.861420024,2.115713632,1.825331449,1.399175549,1.855698987,2.044854885,2.372942128,0.823081697,0.885616629,4.675651064,1.733445373,1.724433993
0.260965197,0.110635358,-0.189196473,-0.343225052,-0.466087313,-0.069397418,-0.11514383,-0.293587595,-0.15796069,0.430658063,0.410873391,-0.084121759,0.322486436,0.303588336,-0.519887683,0.22816073,0.257469657,-0.366165274,-0.019208121,0.299144041,0.742541986,1.803903869,0.961432009,1.524000811,1.24878904,0.767201237,1.342277244,1.749557566,0.922310734,1.948758739,1.679047909,1.032668813,1.208385869,2.100362029,1.720075922,1.027837462,0.836129993,1.980637278,1.36170064,1.451566425
0.555653482,-0.20204256,-0.434032829,-0.735332797,-0.231340398,-0.283677058,-0.568359588,0.094706483,-0.279076622,0.412073276,0.429331565,-0.421110848,0.414624976,0.461365655,-0.385891714,0.093337302,0.178324075,0.374187315,0.17471388,0.352546405,1.2148839,1.886120337,1.250272231,1.590409883,1.514201177,0.782038214,1.05435455,2.392866593,1.247523595,1.510479522,1.660145493,0.821969033,1.122266189,1.602492865,1.367085552,1.290927643,0.888279322,2.736581294,1.070641089,1.459512543
0.087306013,-0.066002437,0.181813121,-0.053170417,-0.029711777,0.257572276,0.061511244,-0.405047865,0.39286552,-0.129059933,-0.210234386,0.061472832,0.330614626,-0.069741515,-0.304811847,0.028562828,0.065554808,-0.176454989,0.15385345,-0.176891551,1.035116856,1.004130265,1.510510368,1.952550413,2.623994396,0.953427442,1.549688178,1.299146888,1.602193917,1.566526546,2.040603565,1.290730166,1.462821021,2.268327661,1.941132759,0.826677595,0.563452312,6.085623485,2.06320899,1.134223196
