Precision,Recall
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.051,1.0
0.061,1.0
0.071,1.0
0.081,0.972
0.091,0.975
0.101,0.977
0.111,0.979
0.121,0.981
0.131,0.982
0.141,0.983
0.152,0.984
0.162,0.971
0.172,0.973
0.182,0.962
0.192,0.964
0.202,0.956
0.212,0.949
0.222,0.951
0.232,0.953
0.242,0.955
0.253,0.957
0.263,0.958
0.273,0.96
0.283,0.961
0.293,0.954
0.303,0.956
0.313,0.95
0.323,0.952
0.333,0.953
0.343,0.954
0.354,0.956
0.364,0.95
0.374,0.952
0.384,0.953
0.394,0.949
0.404,0.95
0.414,0.951
0.424,0.947
0.434,0.948
0.444,0.949
0.455,0.945
0.465,0.947
0.475,0.948
0.485,0.945
0.495,0.941
0.505,0.942
0.515,0.931
0.525,0.925
0.535,0.926
0.545,0.921
0.556,0.922
0.566,0.916
0.576,0.914
0.586,0.915
0.596,0.916
0.606,0.918
0.616,0.919
0.626,0.917
0.636,0.918
0.646,0.917
0.657,0.918
0.667,0.916
0.677,0.908
0.687,0.909
0.697,0.91
0.707,0.902
0.717,0.9
0.727,0.901
0.737,0.9
0.747,0.899
0.758,0.9
0.768,0.896
0.778,0.893
0.788,0.889
0.798,0.879
0.808,0.862
0.818,0.861
0.828,0.859
0.838,0.856
0.848,0.853
0.859,0.832
0.869,0.826
0.879,0.828
0.889,0.821
0.899,0.808
0.909,0.803
0.919,0.783
0.929,0.779
0.939,0.768
0.949,0.718
0.96,0.688
0.97,0.658
0.98,0.623
0.99,0.56
1.0,0.482
