Precision,Recall
0.0,1.0
0.01,1.0
0.02,0.914
0.03,0.936
0.04,0.948
0.051,0.956
0.061,0.936
0.071,0.925
0.081,0.931
0.091,0.936
0.101,0.941
0.111,0.945
0.121,0.948
0.131,0.951
0.141,0.94
0.152,0.943
0.162,0.921
0.172,0.925
0.182,0.929
0.192,0.932
0.202,0.935
0.212,0.938
0.222,0.94
0.232,0.943
0.242,0.927
0.253,0.929
0.263,0.932
0.273,0.934
0.283,0.936
0.293,0.938
0.303,0.94
0.313,0.942
0.323,0.936
0.333,0.938
0.343,0.94
0.354,0.936
0.364,0.932
0.374,0.928
0.384,0.93
0.394,0.932
0.404,0.933
0.414,0.92
0.424,0.922
0.434,0.923
0.444,0.92
0.455,0.912
0.465,0.914
0.475,0.911
0.485,0.897
0.495,0.887
0.505,0.889
0.515,0.891
0.525,0.882
0.535,0.874
0.545,0.869
0.556,0.868
0.566,0.864
0.576,0.863
0.586,0.859
0.596,0.857
0.606,0.854
0.616,0.853
0.626,0.852
0.636,0.846
0.646,0.848
0.657,0.845
0.667,0.842
0.677,0.837
0.687,0.834
0.697,0.823
0.707,0.816
0.717,0.816
0.727,0.814
0.737,0.812
0.747,0.812
0.758,0.807
0.768,0.807
0.778,0.807
0.788,0.809
0.798,0.802
0.808,0.804
0.818,0.804
0.828,0.806
0.838,0.804
0.848,0.791
0.859,0.783
0.869,0.774
0.879,0.757
0.889,0.738
0.899,0.724
0.909,0.722
0.919,0.704
0.929,0.701
0.939,0.699
0.949,0.681
0.96,0.652
0.97,0.622
0.98,0.595
0.99,0.549
1.0,0.489
