Precision,Recall
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,0.958
0.051,0.965
0.061,0.97
0.071,0.974
0.081,0.977
0.091,0.979
0.101,0.981
0.111,0.965
0.121,0.949
0.131,0.952
0.141,0.956
0.152,0.947
0.162,0.934
0.172,0.928
0.182,0.92
0.192,0.924
0.202,0.927
0.212,0.93
0.222,0.933
0.232,0.936
0.242,0.938
0.253,0.931
0.263,0.927
0.273,0.93
0.283,0.932
0.293,0.934
0.303,0.936
0.313,0.938
0.323,0.94
0.333,0.934
0.343,0.936
0.354,0.931
0.364,0.933
0.374,0.93
0.384,0.926
0.394,0.917
0.404,0.919
0.414,0.911
0.424,0.907
0.434,0.909
0.444,0.907
0.455,0.909
0.465,0.911
0.475,0.904
0.485,0.898
0.495,0.895
0.505,0.897
0.515,0.886
0.525,0.875
0.535,0.871
0.545,0.873
0.556,0.875
0.566,0.876
0.576,0.878
0.586,0.88
0.596,0.879
0.606,0.881
0.616,0.87
0.626,0.857
0.636,0.856
0.646,0.858
0.657,0.854
0.667,0.845
0.677,0.844
0.687,0.846
0.697,0.848
0.707,0.847
0.717,0.842
0.727,0.838
0.737,0.836
0.747,0.831
0.758,0.83
0.768,0.826
0.778,0.824
0.788,0.824
0.798,0.817
0.808,0.814
0.818,0.806
0.828,0.801
0.838,0.799
0.848,0.774
0.859,0.762
0.869,0.755
0.879,0.746
0.889,0.737
0.899,0.729
0.909,0.718
0.919,0.694
0.929,0.677
0.939,0.656
0.949,0.639
0.96,0.632
0.97,0.629
0.98,0.59
0.99,0.571
1.0,0.486
