Precision,Recall
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.051,1.0
0.061,0.964
0.071,0.968
0.081,0.948
0.091,0.953
0.101,0.957
0.111,0.961
0.121,0.964
0.131,0.966
0.141,0.954
0.152,0.957
0.162,0.96
0.172,0.962
0.182,0.964
0.192,0.945
0.202,0.936
0.212,0.939
0.222,0.941
0.232,0.944
0.242,0.946
0.253,0.948
0.263,0.95
0.273,0.952
0.283,0.953
0.293,0.955
0.303,0.956
0.313,0.957
0.323,0.959
0.333,0.96
0.343,0.961
0.354,0.962
0.364,0.95
0.374,0.952
0.384,0.953
0.394,0.954
0.404,0.95
0.414,0.951
0.424,0.952
0.434,0.948
0.444,0.949
0.455,0.941
0.465,0.942
0.475,0.943
0.485,0.936
0.495,0.925
0.505,0.922
0.515,0.924
0.525,0.925
0.535,0.926
0.545,0.924
0.556,0.922
0.566,0.923
0.576,0.921
0.586,0.913
0.596,0.914
0.606,0.912
0.616,0.91
0.626,0.911
0.636,0.909
0.646,0.905
0.657,0.9
0.667,0.899
0.677,0.898
0.687,0.893
0.697,0.895
0.707,0.896
0.717,0.885
0.727,0.877
0.737,0.87
0.747,0.871
0.758,0.868
0.768,0.863
0.778,0.859
0.788,0.861
0.798,0.856
0.808,0.857
0.818,0.845
0.828,0.839
0.838,0.838
0.848,0.826
0.859,0.815
0.869,0.797
0.879,0.791
0.889,0.782
0.899,0.771
0.909,0.762
0.919,0.752
0.929,0.735
0.939,0.714
0.949,0.709
0.96,0.696
0.97,0.647
0.98,0.626
0.99,0.584
1.0,0.5
