Precision,Recall
0.0,0.8
0.01,0.873
0.02,0.915
0.03,0.936
0.04,0.9
0.051,0.916
0.061,0.927
0.071,0.936
0.081,0.922
0.091,0.929
0.101,0.935
0.111,0.94
0.121,0.944
0.131,0.932
0.141,0.921
0.152,0.926
0.162,0.918
0.172,0.922
0.182,0.926
0.192,0.929
0.202,0.932
0.212,0.935
0.222,0.938
0.232,0.931
0.242,0.934
0.253,0.928
0.263,0.924
0.273,0.919
0.283,0.921
0.293,0.924
0.303,0.908
0.313,0.911
0.323,0.906
0.333,0.903
0.343,0.899
0.354,0.897
0.364,0.899
0.374,0.902
0.384,0.904
0.394,0.901
0.404,0.893
0.414,0.895
0.424,0.889
0.434,0.892
0.444,0.89
0.455,0.892
0.465,0.889
0.475,0.891
0.485,0.889
0.495,0.887
0.505,0.885
0.515,0.884
0.525,0.886
0.535,0.888
0.545,0.89
0.556,0.882
0.566,0.88
0.576,0.87
0.586,0.872
0.596,0.862
0.606,0.864
0.616,0.861
0.626,0.862
0.636,0.859
0.646,0.852
0.657,0.847
0.667,0.835
0.677,0.835
0.687,0.832
0.697,0.832
0.707,0.834
0.717,0.834
0.727,0.833
0.737,0.831
0.747,0.828
0.758,0.825
0.768,0.82
0.778,0.822
0.788,0.82
0.798,0.804
0.808,0.804
0.818,0.806
0.828,0.804
0.838,0.789
0.848,0.791
0.859,0.776
0.869,0.778
0.879,0.77
0.889,0.754
0.899,0.743
0.909,0.742
0.919,0.735
0.929,0.722
0.939,0.678
0.949,0.649
0.96,0.628
0.97,0.603
0.98,0.557
0.99,0.539
1.0,0.489
