Precision,Recall
0.0,0.8
0.01,0.842
0.02,0.712
0.03,0.669
0.04,0.682
0.051,0.723
0.061,0.668
0.071,0.684
0.081,0.698
0.091,0.715
0.101,0.702
0.111,0.698
0.121,0.709
0.131,0.725
0.141,0.718
0.152,0.728
0.162,0.726
0.172,0.732
0.182,0.698
0.192,0.673
0.202,0.684
0.212,0.694
0.222,0.704
0.232,0.704
0.242,0.705
0.253,0.708
0.263,0.716
0.273,0.698
0.283,0.683
0.293,0.677
0.303,0.668
0.313,0.671
0.323,0.669
0.333,0.675
0.343,0.669
0.354,0.674
0.364,0.672
0.374,0.661
0.384,0.66
0.394,0.661
0.404,0.664
0.414,0.654
0.424,0.657
0.434,0.648
0.444,0.644
0.455,0.646
0.465,0.643
0.475,0.632
0.485,0.637
0.495,0.636
0.505,0.637
0.515,0.638
0.525,0.639
0.535,0.636
0.545,0.638
0.556,0.628
0.566,0.632
0.576,0.631
0.586,0.635
0.596,0.628
0.606,0.627
0.616,0.625
0.626,0.626
0.636,0.627
0.646,0.625
0.657,0.623
0.667,0.62
0.677,0.604
0.687,0.6
0.697,0.598
0.707,0.6
0.717,0.597
0.727,0.599
0.737,0.593
0.747,0.593
0.758,0.591
0.768,0.585
0.778,0.583
0.788,0.585
0.798,0.584
0.808,0.581
0.818,0.572
0.828,0.565
0.838,0.561
0.848,0.555
0.859,0.549
0.869,0.549
0.879,0.548
0.889,0.536
0.899,0.535
0.909,0.533
0.919,0.527
0.929,0.522
0.939,0.513
0.949,0.514
0.96,0.513
0.97,0.51
0.98,0.502
0.99,0.493
1.0,0.489
