Precision,Recall
0.0,1.0
0.01,1.0
0.02,1.0
0.03,0.943
0.04,0.905
0.051,0.921
0.061,0.932
0.071,0.913
0.081,0.922
0.091,0.93
0.101,0.936
0.111,0.941
0.121,0.946
0.131,0.95
0.141,0.953
0.152,0.956
0.162,0.959
0.172,0.949
0.182,0.941
0.192,0.934
0.202,0.937
0.212,0.939
0.222,0.942
0.232,0.936
0.242,0.932
0.253,0.934
0.263,0.929
0.273,0.932
0.283,0.928
0.293,0.923
0.303,0.925
0.313,0.928
0.323,0.923
0.333,0.915
0.343,0.917
0.354,0.903
0.364,0.9
0.374,0.891
0.384,0.889
0.394,0.882
0.404,0.885
0.414,0.887
0.424,0.885
0.434,0.883
0.444,0.885
0.455,0.884
0.465,0.886
0.475,0.889
0.485,0.884
0.495,0.878
0.505,0.88
0.515,0.878
0.525,0.88
0.535,0.872
0.545,0.867
0.556,0.869
0.566,0.871
0.576,0.862
0.586,0.864
0.596,0.864
0.606,0.859
0.616,0.861
0.626,0.857
0.636,0.851
0.646,0.853
0.657,0.845
0.667,0.844
0.677,0.841
0.687,0.834
0.697,0.824
0.707,0.824
0.717,0.826
0.727,0.824
0.737,0.823
0.747,0.819
0.758,0.815
0.768,0.805
0.778,0.805
0.788,0.807
0.798,0.8
0.808,0.792
0.818,0.792
0.828,0.792
0.838,0.79
0.848,0.78
0.859,0.779
0.869,0.777
0.879,0.774
0.889,0.764
0.899,0.764
0.909,0.739
0.919,0.74
0.929,0.719
0.939,0.712
0.949,0.713
0.96,0.706
0.97,0.668
0.98,0.646
0.99,0.555
1.0,0.502
