Precision,Recall
0.0,1.0
0.01,1.0
0.02,0.923
0.03,0.942
0.04,0.954
0.051,0.961
0.061,0.967
0.071,0.971
0.081,0.948
0.091,0.953
0.101,0.957
0.111,0.961
0.121,0.964
0.131,0.966
0.141,0.939
0.152,0.943
0.162,0.934
0.172,0.927
0.182,0.931
0.192,0.934
0.202,0.937
0.212,0.94
0.222,0.914
0.232,0.909
0.242,0.905
0.253,0.901
0.263,0.895
0.273,0.876
0.283,0.88
0.293,0.871
0.303,0.875
0.313,0.871
0.323,0.87
0.333,0.873
0.343,0.871
0.354,0.874
0.364,0.877
0.374,0.88
0.384,0.883
0.394,0.872
0.404,0.851
0.414,0.854
0.424,0.848
0.434,0.844
0.444,0.842
0.455,0.842
0.465,0.831
0.475,0.824
0.485,0.819
0.495,0.814
0.505,0.814
0.515,0.81
0.525,0.808
0.535,0.804
0.545,0.802
0.556,0.805
0.566,0.798
0.576,0.795
0.586,0.771
0.596,0.769
0.606,0.77
0.616,0.77
0.626,0.765
0.636,0.751
0.646,0.75
0.657,0.746
0.667,0.738
0.677,0.737
0.687,0.735
0.697,0.734
0.707,0.737
0.717,0.74
0.727,0.741
0.737,0.737
0.747,0.729
0.758,0.728
0.768,0.729
0.778,0.72
0.788,0.723
0.798,0.712
0.808,0.71
0.818,0.709
0.828,0.703
0.838,0.693
0.848,0.68
0.859,0.68
0.869,0.67
0.879,0.667
0.889,0.66
0.899,0.656
0.909,0.645
0.919,0.635
0.929,0.63
0.939,0.627
0.949,0.618
0.96,0.606
0.97,0.569
0.98,0.546
0.99,0.514
1.0,0.474
