Precision,Recall
0.0,1.0
0.01,1.0
0.02,0.929
0.03,0.947
0.04,0.958
0.051,0.965
0.061,0.934
0.071,0.942
0.081,0.922
0.091,0.93
0.101,0.877
0.111,0.87
0.121,0.865
0.131,0.874
0.141,0.881
0.152,0.888
0.162,0.894
0.172,0.899
0.182,0.904
0.192,0.899
0.202,0.873
0.212,0.879
0.222,0.883
0.232,0.873
0.242,0.877
0.253,0.867
0.263,0.872
0.273,0.876
0.283,0.846
0.293,0.851
0.303,0.843
0.313,0.841
0.323,0.83
0.333,0.834
0.343,0.833
0.354,0.837
0.364,0.841
0.374,0.836
0.384,0.835
0.394,0.839
0.404,0.842
0.414,0.822
0.424,0.822
0.434,0.814
0.444,0.817
0.455,0.82
0.465,0.817
0.475,0.816
0.485,0.81
0.495,0.807
0.505,0.801
0.515,0.8
0.525,0.795
0.535,0.796
0.545,0.788
0.556,0.786
0.566,0.782
0.576,0.782
0.586,0.782
0.596,0.78
0.606,0.782
0.616,0.781
0.626,0.77
0.636,0.773
0.646,0.772
0.657,0.774
0.667,0.769
0.677,0.768
0.687,0.766
0.697,0.768
0.707,0.76
0.717,0.755
0.727,0.75
0.737,0.747
0.747,0.746
0.758,0.724
0.768,0.72
0.778,0.716
0.788,0.717
0.798,0.714
0.808,0.717
0.818,0.706
0.828,0.705
0.838,0.703
0.848,0.692
0.859,0.681
0.869,0.675
0.879,0.668
0.889,0.665
0.899,0.643
0.909,0.642
0.919,0.644
0.929,0.631
0.939,0.615
0.949,0.611
0.96,0.592
0.97,0.576
0.98,0.536
0.99,0.515
1.0,0.478
