Precision,Recall
0.0,1.0
0.01,1.0
0.02,0.851
0.03,0.829
0.04,0.863
0.051,0.886
0.061,0.902
0.071,0.914
0.081,0.897
0.091,0.908
0.101,0.916
0.111,0.923
0.121,0.929
0.131,0.934
0.141,0.938
0.152,0.942
0.162,0.945
0.172,0.948
0.182,0.939
0.192,0.942
0.202,0.945
0.212,0.948
0.222,0.95
0.232,0.943
0.242,0.936
0.253,0.923
0.263,0.926
0.273,0.928
0.283,0.924
0.293,0.905
0.303,0.908
0.313,0.911
0.323,0.913
0.333,0.916
0.343,0.896
0.354,0.899
0.364,0.891
0.374,0.885
0.384,0.888
0.394,0.886
0.404,0.875
0.414,0.869
0.424,0.871
0.434,0.861
0.444,0.864
0.455,0.855
0.465,0.851
0.475,0.847
0.485,0.846
0.495,0.833
0.505,0.83
0.515,0.832
0.525,0.829
0.535,0.827
0.545,0.829
0.556,0.832
0.566,0.834
0.576,0.834
0.586,0.837
0.596,0.834
0.606,0.832
0.616,0.832
0.626,0.831
0.636,0.83
0.646,0.828
0.657,0.83
0.667,0.829
0.677,0.823
0.687,0.821
0.697,0.821
0.707,0.818
0.717,0.817
0.727,0.805
0.737,0.807
0.747,0.792
0.758,0.786
0.768,0.787
0.778,0.785
0.788,0.787
0.798,0.783
0.808,0.767
0.818,0.761
0.828,0.757
0.838,0.755
0.848,0.754
0.859,0.75
0.869,0.744
0.879,0.731
0.889,0.732
0.899,0.73
0.909,0.725
0.919,0.7
0.929,0.697
0.939,0.685
0.949,0.683
0.96,0.67
0.97,0.664
0.98,0.613
0.99,0.572
1.0,0.5
