FPR,TPR
0.0,0.0
0.01,0.182
0.02,0.247
0.03,0.412
0.04,0.454
0.051,0.512
0.061,0.524
0.071,0.56
0.081,0.583
0.091,0.594
0.101,0.62
0.111,0.63
0.121,0.664
0.131,0.689
0.141,0.707
0.152,0.731
0.162,0.746
0.172,0.755
0.182,0.788
0.192,0.818
0.202,0.841
0.212,0.844
0.222,0.858
0.232,0.867
0.242,0.879
0.253,0.879
0.263,0.889
0.273,0.889
0.283,0.891
0.293,0.899
0.303,0.903
0.313,0.91
0.323,0.91
0.333,0.91
0.343,0.91
0.354,0.915
0.364,0.922
0.374,0.922
0.384,0.927
0.394,0.927
0.404,0.927
0.414,0.932
0.424,0.932
0.434,0.932
0.444,0.943
0.455,0.949
0.465,0.949
0.475,0.951
0.485,0.956
0.495,0.958
0.505,0.958
0.515,0.961
0.525,0.966
0.535,0.969
0.545,0.969
0.556,0.971
0.566,0.971
0.576,0.976
0.586,0.976
0.596,0.981
0.606,0.981
0.616,0.983
0.626,0.985
0.636,0.985
0.646,0.985
0.657,0.985
0.667,0.985
0.677,0.985
0.687,0.988
0.697,0.988
0.707,0.988
0.717,0.988
0.727,0.988
0.737,0.99
0.747,0.99
0.758,0.99
0.768,0.99
0.778,0.99
0.788,0.993
0.798,0.993
0.808,0.993
0.818,0.993
0.828,0.993
0.838,0.993
0.848,0.993
0.859,0.995
0.869,0.995
0.879,0.998
0.889,0.998
0.899,0.998
0.909,0.998
0.919,0.998
0.929,0.998
0.939,0.998
0.949,0.998
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
