FPR,TPR
0.0,0.0
0.01,0.165
0.02,0.315
0.03,0.389
0.04,0.452
0.051,0.502
0.061,0.538
0.071,0.599
0.081,0.618
0.091,0.636
0.101,0.641
0.111,0.662
0.121,0.682
0.131,0.7
0.141,0.713
0.152,0.728
0.162,0.753
0.172,0.758
0.182,0.79
0.192,0.802
0.202,0.811
0.212,0.846
0.222,0.848
0.232,0.853
0.242,0.858
0.253,0.863
0.263,0.868
0.273,0.873
0.283,0.881
0.293,0.881
0.303,0.888
0.313,0.898
0.323,0.907
0.333,0.917
0.343,0.919
0.354,0.921
0.364,0.921
0.374,0.923
0.384,0.923
0.394,0.928
0.404,0.928
0.414,0.93
0.424,0.932
0.434,0.932
0.444,0.94
0.455,0.942
0.465,0.955
0.475,0.955
0.485,0.955
0.495,0.957
0.505,0.96
0.515,0.96
0.525,0.96
0.535,0.96
0.545,0.962
0.556,0.962
0.566,0.962
0.576,0.962
0.586,0.962
0.596,0.972
0.606,0.977
0.616,0.98
0.626,0.98
0.636,0.98
0.646,0.98
0.657,0.98
0.667,0.985
0.677,0.985
0.687,0.985
0.697,0.985
0.707,0.988
0.717,0.99
0.727,0.99
0.737,0.992
0.747,0.992
0.758,0.992
0.768,0.992
0.778,0.992
0.788,0.992
0.798,0.992
0.808,0.992
0.818,0.992
0.828,0.995
0.838,0.995
0.848,0.995
0.859,0.997
0.869,0.997
0.879,1.0
0.889,1.0
0.899,1.0
0.909,1.0
0.919,1.0
0.929,1.0
0.939,1.0
0.949,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
