FPR,TPR
0.0,0.0
0.01,0.13
0.02,0.366
0.03,0.462
0.04,0.585
0.051,0.602
0.061,0.63
0.071,0.677
0.081,0.699
0.091,0.72
0.101,0.727
0.111,0.744
0.121,0.779
0.131,0.799
0.141,0.801
0.152,0.813
0.162,0.822
0.172,0.832
0.182,0.836
0.192,0.839
0.202,0.844
0.212,0.848
0.222,0.866
0.232,0.876
0.242,0.887
0.253,0.896
0.263,0.896
0.273,0.898
0.283,0.903
0.293,0.913
0.303,0.913
0.313,0.922
0.323,0.924
0.333,0.924
0.343,0.927
0.354,0.93
0.364,0.934
0.374,0.937
0.384,0.941
0.394,0.947
0.404,0.947
0.414,0.949
0.424,0.951
0.434,0.956
0.444,0.958
0.455,0.958
0.465,0.964
0.475,0.967
0.485,0.969
0.495,0.969
0.505,0.971
0.515,0.971
0.525,0.974
0.535,0.976
0.545,0.976
0.556,0.978
0.566,0.978
0.576,0.98
0.586,0.98
0.596,0.983
0.606,0.983
0.616,0.983
0.626,0.988
0.636,0.988
0.646,0.99
0.657,0.99
0.667,0.993
0.677,0.993
0.687,0.993
0.697,0.993
0.707,0.993
0.717,0.993
0.727,0.993
0.737,0.993
0.747,0.997
0.758,0.997
0.768,0.997
0.778,0.997
0.788,0.997
0.798,0.997
0.808,0.997
0.818,0.997
0.828,0.997
0.838,0.997
0.848,0.997
0.859,0.997
0.869,0.997
0.879,0.997
0.889,0.997
0.899,1.0
0.909,1.0
0.919,1.0
0.929,1.0
0.939,1.0
0.949,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
