FPR,TPR
0.0,0.0
0.01,0.022
0.02,0.045
0.03,0.072
0.04,0.103
0.051,0.126
0.061,0.146
0.071,0.195
0.081,0.201
0.091,0.222
0.101,0.245
0.111,0.277
0.121,0.283
0.131,0.292
0.141,0.307
0.152,0.333
0.162,0.342
0.172,0.349
0.182,0.362
0.192,0.38
0.202,0.385
0.212,0.41
0.222,0.43
0.232,0.453
0.242,0.457
0.253,0.48
0.263,0.494
0.273,0.51
0.283,0.545
0.293,0.552
0.303,0.565
0.313,0.578
0.323,0.589
0.333,0.603
0.343,0.603
0.354,0.605
0.364,0.61
0.374,0.615
0.384,0.619
0.394,0.621
0.404,0.624
0.414,0.631
0.424,0.657
0.434,0.685
0.444,0.695
0.455,0.699
0.465,0.716
0.475,0.731
0.485,0.738
0.495,0.755
0.505,0.763
0.515,0.765
0.525,0.775
0.535,0.781
0.545,0.788
0.556,0.795
0.566,0.804
0.576,0.808
0.586,0.816
0.596,0.825
0.606,0.839
0.616,0.849
0.626,0.852
0.636,0.859
0.646,0.864
0.657,0.866
0.667,0.869
0.677,0.871
0.687,0.871
0.697,0.883
0.707,0.883
0.717,0.888
0.727,0.891
0.737,0.896
0.747,0.896
0.758,0.898
0.768,0.903
0.778,0.91
0.788,0.91
0.798,0.916
0.808,0.918
0.818,0.922
0.828,0.925
0.838,0.925
0.848,0.932
0.859,0.939
0.869,0.944
0.879,0.953
0.889,0.953
0.899,0.955
0.909,0.96
0.919,0.963
0.929,0.971
0.939,0.976
0.949,0.979
0.96,0.981
0.97,0.983
0.98,0.99
0.99,0.995
1.0,1.0
