FPR,TPR
0.0,0.0
0.01,0.138
0.02,0.256
0.03,0.305
0.04,0.335
0.051,0.381
0.061,0.416
0.071,0.436
0.081,0.444
0.091,0.449
0.101,0.461
0.111,0.485
0.121,0.507
0.131,0.534
0.141,0.561
0.152,0.581
0.162,0.611
0.172,0.618
0.182,0.635
0.192,0.643
0.202,0.65
0.212,0.687
0.222,0.694
0.232,0.699
0.242,0.723
0.253,0.723
0.263,0.763
0.273,0.773
0.283,0.79
0.293,0.803
0.303,0.817
0.313,0.825
0.323,0.83
0.333,0.847
0.343,0.852
0.354,0.855
0.364,0.855
0.374,0.855
0.384,0.862
0.394,0.87
0.404,0.877
0.414,0.889
0.424,0.892
0.434,0.899
0.444,0.902
0.455,0.904
0.465,0.907
0.475,0.914
0.485,0.914
0.495,0.919
0.505,0.921
0.515,0.934
0.525,0.934
0.535,0.939
0.545,0.941
0.556,0.951
0.566,0.958
0.576,0.961
0.586,0.961
0.596,0.961
0.606,0.963
0.616,0.963
0.626,0.966
0.636,0.968
0.646,0.968
0.657,0.968
0.667,0.968
0.677,0.97
0.687,0.97
0.697,0.97
0.707,0.97
0.717,0.97
0.727,0.973
0.737,0.975
0.747,0.975
0.758,0.975
0.768,0.975
0.778,0.98
0.788,0.983
0.798,0.983
0.808,0.983
0.818,0.985
0.828,0.985
0.838,0.985
0.848,0.987
0.859,0.99
0.869,0.992
0.879,0.995
0.889,0.995
0.899,0.995
0.909,0.995
0.919,1.0
0.929,1.0
0.939,1.0
0.949,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
