FPR,TPR
0.0,0.0
0.01,0.086
0.02,0.176
0.03,0.241
0.04,0.289
0.051,0.319
0.061,0.369
0.071,0.406
0.081,0.46
0.091,0.5
0.101,0.523
0.111,0.568
0.121,0.581
0.131,0.586
0.141,0.596
0.152,0.609
0.162,0.632
0.172,0.655
0.182,0.66
0.192,0.663
0.202,0.672
0.212,0.69
0.222,0.705
0.232,0.71
0.242,0.745
0.253,0.747
0.263,0.757
0.273,0.759
0.283,0.784
0.293,0.795
0.303,0.811
0.313,0.818
0.323,0.831
0.333,0.833
0.343,0.843
0.354,0.843
0.364,0.846
0.374,0.851
0.384,0.853
0.394,0.861
0.404,0.863
0.414,0.873
0.424,0.875
0.434,0.886
0.444,0.894
0.455,0.901
0.465,0.906
0.475,0.909
0.485,0.914
0.495,0.917
0.505,0.917
0.515,0.917
0.525,0.927
0.535,0.932
0.545,0.935
0.556,0.943
0.566,0.947
0.576,0.95
0.586,0.95
0.596,0.95
0.606,0.952
0.616,0.952
0.626,0.955
0.636,0.957
0.646,0.96
0.657,0.963
0.667,0.963
0.677,0.963
0.687,0.965
0.697,0.965
0.707,0.965
0.717,0.967
0.727,0.97
0.737,0.97
0.747,0.977
0.758,0.977
0.768,0.98
0.778,0.983
0.788,0.983
0.798,0.985
0.808,0.988
0.818,0.988
0.828,0.988
0.838,0.99
0.848,0.99
0.859,0.993
0.869,0.995
0.879,0.997
0.889,0.997
0.899,1.0
0.909,1.0
0.919,1.0
0.929,1.0
0.939,1.0
0.949,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
