FPR,TPR
0.0,0.0
0.01,0.06
0.02,0.264
0.03,0.302
0.04,0.388
0.051,0.393
0.061,0.451
0.071,0.473
0.081,0.498
0.091,0.565
0.101,0.575
0.111,0.599
0.121,0.627
0.131,0.636
0.141,0.644
0.152,0.67
0.162,0.71
0.172,0.72
0.182,0.753
0.192,0.761
0.202,0.765
0.212,0.794
0.222,0.796
0.232,0.796
0.242,0.796
0.253,0.805
0.263,0.838
0.273,0.841
0.283,0.848
0.293,0.855
0.303,0.855
0.313,0.855
0.323,0.867
0.333,0.884
0.343,0.886
0.354,0.889
0.364,0.891
0.374,0.897
0.384,0.902
0.394,0.905
0.404,0.907
0.414,0.922
0.424,0.933
0.434,0.933
0.444,0.935
0.455,0.937
0.465,0.939
0.475,0.939
0.485,0.939
0.495,0.942
0.505,0.942
0.515,0.946
0.525,0.946
0.535,0.948
0.545,0.95
0.556,0.962
0.566,0.962
0.576,0.967
0.586,0.969
0.596,0.969
0.606,0.971
0.616,0.974
0.626,0.974
0.636,0.974
0.646,0.983
0.657,0.986
0.667,0.986
0.677,0.986
0.687,0.988
0.697,0.991
0.707,0.991
0.717,0.993
0.727,0.993
0.737,0.993
0.747,0.995
0.758,0.995
0.768,0.995
0.778,0.995
0.788,0.995
0.798,0.995
0.808,0.995
0.818,0.995
0.828,0.995
0.838,0.995
0.848,0.998
0.859,0.998
0.869,0.998
0.879,0.998
0.889,0.998
0.899,0.998
0.909,0.998
0.919,0.998
0.929,0.998
0.939,0.998
0.949,0.998
0.96,0.998
0.97,0.998
0.98,0.998
0.99,1.0
1.0,1.0
