FPR,TPR
0.0,0.0
0.01,0.149
0.02,0.214
0.03,0.269
0.04,0.31
0.051,0.341
0.061,0.365
0.071,0.379
0.081,0.425
0.091,0.462
0.101,0.489
0.111,0.517
0.121,0.539
0.131,0.552
0.141,0.603
0.152,0.605
0.162,0.625
0.172,0.652
0.182,0.673
0.192,0.697
0.202,0.72
0.212,0.746
0.222,0.754
0.232,0.772
0.242,0.775
0.253,0.793
0.263,0.811
0.273,0.811
0.283,0.814
0.293,0.823
0.303,0.825
0.313,0.839
0.323,0.847
0.333,0.851
0.343,0.856
0.354,0.863
0.364,0.863
0.374,0.863
0.384,0.87
0.394,0.877
0.404,0.88
0.414,0.885
0.424,0.894
0.434,0.898
0.444,0.898
0.455,0.898
0.465,0.903
0.475,0.906
0.485,0.911
0.495,0.914
0.505,0.924
0.515,0.933
0.525,0.936
0.535,0.941
0.545,0.941
0.556,0.941
0.566,0.943
0.576,0.946
0.586,0.946
0.596,0.948
0.606,0.952
0.616,0.952
0.626,0.955
0.636,0.957
0.646,0.96
0.657,0.964
0.667,0.964
0.677,0.967
0.687,0.967
0.697,0.969
0.707,0.969
0.717,0.971
0.727,0.979
0.737,0.979
0.747,0.979
0.758,0.983
0.768,0.986
0.778,0.988
0.788,0.988
0.798,0.99
0.808,0.99
0.818,0.995
0.828,0.998
0.838,0.998
0.848,0.998
0.859,0.998
0.869,0.998
0.879,0.998
0.889,0.998
0.899,0.998
0.909,0.998
0.919,0.998
0.929,0.998
0.939,0.998
0.949,0.998
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
